Date Separator: / (379)
    アゲム語 (カメルーン), 0x1000, agq-CM
    アカン語 (ガーナ), 0x1000, ak-GH
    アムハラ語 (エチオピア), 0x045E, am-ET
    アス語 (タンザニア), 0x1000, asa-TZ
    アストゥリアス語 (スペイン), 0x1000, ast-ES
    バサ語 (カメルーン), 0x1000, bas-CM
    ベンバ語 (ザンビア), 0x1000, bem-ZM
    ベナ語 (タンザニア), 0x1000, bez-TZ
    ビニ語 (ナイジェリア), 0x0466, bin-NG
    バンバラ語 (マリ), 0x1000, bm-ML
    ベンガル語 (バングラデシュ), 0x0845, bn-BD
    ベンガル語 (インド), 0x0445, bn-IN
    ブルトン語 (フランス), 0x047E, br-FR
    ボド語 (インド), 0x1000, brx-IN
    カタロニア語 (アンドラ), 0x1000, ca-AD
    カタロニア語 (スペイン), 0x0403, ca-ES
    カタロニア語 (フランス), 0x1000, ca-FR
    カタロニア語 (イタリア), 0x1000, ca-IT
    チャクマ語 (バングラデシュ), 0x1000, ccp-BD
    チャクマ語 (インド), 0x1000, ccp-IN
    セブアノ語 (フィリピン), 0x1000, ceb-PH
    チガ語 (ウガンダ), 0x1000, cgg-UG
    チェロキー語 (アメリカ合衆国), 0x1000, chr-US
    ウェールズ語 (イギリス), 0x0452, cy-GB
    タイタ語 (ケニア), 0x1000, dav-KE
    ザルマ語 (ニジェール), 0x1000, dje-NE
    ドーグリー語 (インド), 0x1000, doi-IN
    ドゥアラ語 (カメルーン), 0x1000, dua-CM
    ジョラ＝フォニィ語 (セネガル), 0x1000, dyo-SN
    エンブ語 (ケニア), 0x1000, ebu-KE
    エウェ語 (ガーナ), 0x1000, ee-GH
    エウェ語 (トーゴ), 0x1000, ee-TG
    ギリシャ語 (キプロス), 0x1000, el-CY
    ギリシャ語 (ギリシャ), 0x0408, el-GR
    英語 (世界), 0x1000, en-001
    英語 (カリブ), 0x2409, en-029
    英語 (ヨーロッパ), 0x1000, en-150
    英語 (アラブ首長国連邦), 0x1000, en-AE
    英語 (アンティグア・バーブーダ), 0x1000, en-AG
    英語 (アンギラ), 0x1000, en-AI
    英語 (米領サモア), 0x1000, en-AS
    英語 (オーストリア), 0x1000, en-AT
    英語 (オーストラリア), 0x0C09, en-AU
    英語 (バルバドス), 0x1000, en-BB
    英語 (ベルギー), 0x1000, en-BE
    英語 (ブルンジ), 0x1000, en-BI
    英語 (バミューダ), 0x1000, en-BM
    英語 (バハマ), 0x1000, en-BS
    英語 (ボツワナ), 0x1000, en-BW
    英語 (ベリーズ), 0x2809, en-BZ
    英語 (ココス[キーリング]諸島), 0x1000, en-CC
    英語 (スイス), 0x1000, en-CH
    英語 (クック諸島), 0x1000, en-CK
    英語 (カメルーン), 0x1000, en-CM
    英語 (クリスマス島), 0x1000, en-CX
    英語 (キプロス), 0x1000, en-CY
    英語 (ドイツ), 0x1000, en-DE
    英語 (デンマーク), 0x1000, en-DK
    英語 (ドミニカ国), 0x1000, en-DM
    英語 (エリトリア), 0x1000, en-ER
    英語 (フィンランド), 0x1000, en-FI
    英語 (フィジー), 0x1000, en-FJ
    英語 (フォークランド諸島), 0x1000, en-FK
    英語 (ミクロネシア連邦), 0x1000, en-FM
    英語 (イギリス), 0x0809, en-GB
    英語 (グレナダ), 0x1000, en-GD
    英語 (ガーンジー), 0x1000, en-GG
    英語 (ガーナ), 0x1000, en-GH
    英語 (ジブラルタル), 0x1000, en-GI
    英語 (ガンビア), 0x1000, en-GM
    英語 (グアム), 0x1000, en-GU
    英語 (ガイアナ), 0x1000, en-GY
    英語 (中華人民共和国香港特別行政区), 0x3C09, en-HK
    英語 (インドネシア), 0x3809, en-ID
    英語 (アイルランド), 0x1809, en-IE
    英語 (イスラエル), 0x1000, en-IL
    英語 (マン島), 0x1000, en-IM
    英語 (インド), 0x4009, en-IN
    英語 (英領インド洋地域), 0x1000, en-IO
    英語 (ジャージー), 0x1000, en-JE
    英語 (ジャマイカ), 0x2009, en-JM
    英語 (ケニア), 0x1000, en-KE
    英語 (キリバス), 0x1000, en-KI
    英語 (セントクリストファー・ネーヴィス), 0x1000, en-KN
    英語 (ケイマン諸島), 0x1000, en-KY
    英語 (セントルシア), 0x1000, en-LC
    英語 (リベリア), 0x1000, en-LR
    英語 (レソト), 0x1000, en-LS
    英語 (マダガスカル), 0x1000, en-MG
    英語 (マーシャル諸島), 0x1000, en-MH
    英語 (中華人民共和国マカオ特別行政区), 0x1000, en-MO
    英語 (北マリアナ諸島), 0x1000, en-MP
    英語 (モントセラト), 0x1000, en-MS
    英語 (マルタ), 0x1000, en-MT
    英語 (モーリシャス), 0x1000, en-MU
    英語 (マラウイ), 0x1000, en-MW
    英語 (マレーシア), 0x4409, en-MY
    英語 (ナミビア), 0x1000, en-NA
    英語 (ノーフォーク島), 0x1000, en-NF
    英語 (ナイジェリア), 0x1000, en-NG
    英語 (オランダ), 0x1000, en-NL
    英語 (ナウル), 0x1000, en-NR
    英語 (ニウエ), 0x1000, en-NU
    英語 (ニュージーランド), 0x1409, en-NZ
    英語 (パプアニューギニア), 0x1000, en-PG
    英語 (フィリピン), 0x3409, en-PH
    英語 (パキスタン), 0x1000, en-PK
    英語 (ピトケアン諸島), 0x1000, en-PN
    英語 (プエルトリコ), 0x1000, en-PR
    英語 (パラオ), 0x1000, en-PW
    英語 (ルワンダ), 0x1000, en-RW
    英語 (ソロモン諸島), 0x1000, en-SB
    英語 (セーシェル), 0x1000, en-SC
    英語 (スーダン), 0x1000, en-SD
    英語 (シンガポール), 0x4809, en-SG
    英語 (セントヘレナ), 0x1000, en-SH
    英語 (スロベニア), 0x1000, en-SI
    英語 (シエラレオネ), 0x1000, en-SL
    英語 (南スーダン), 0x1000, en-SS
    英語 (シント・マールテン), 0x1000, en-SX
    英語 (エスワティニ), 0x1000, en-SZ
    英語 (タークス・カイコス諸島), 0x1000, en-TC
    英語 (トケラウ), 0x1000, en-TK
    英語 (トンガ), 0x1000, en-TO
    英語 (トリニダード・トバゴ), 0x2C09, en-TT
    英語 (ツバル), 0x1000, en-TV
    英語 (タンザニア), 0x1000, en-TZ
    英語 (ウガンダ), 0x1000, en-UG
    英語 (合衆国領有小離島), 0x1000, en-UM
    英語 (アメリカ合衆国), 0x0409, en-US
    英語 (アメリカ合衆国、コンピュータ), 0x1000, en-US-POSIX
    英語 (セントビンセント及びグレナディーン諸島), 0x1000, en-VC
    英語 (英領ヴァージン諸島), 0x1000, en-VG
    英語 (米領ヴァージン諸島), 0x1000, en-VI
    英語 (バヌアツ), 0x1000, en-VU
